,guardian,droidagent,autodroid,visidroid,visidroid_no_mem,visidroid_no_vision,visidroid_complete
total_tasks,150.0,150.0,150.0,150.0,150.0,150.0,150.0
total_exact_match_tasks,0.0,21.0,106.0,131.0,79.0,108.0,142.0
exact_match_percentage,0.0,14.0,70.7,87.3,52.7,72.0,94.7
average_prefix_match,10.6,28.8,80.6,90.5,67.3,81.9,95.9
total_correct_actions,388.0,435.0,592.0,619.0,478.0,558.0,671.0
total_actions,1863.0,1269.0,692.0,708.0,721.0,715.0,701.0
macro_average_precision,21.2,39.8,87.2,91.3,73.0,84.1,96.4
micro_average_precision,20.8,34.3,85.5,87.4,66.3,78.0,95.7
task_achieved,54.0,105.0,126.0,131.0,92.0,113.0,143.0
total_tasks_completed,2.0,36.0,113.0,131.0,89.0,111.0,143.0
task_completion_percentage,1.3,24.0,75.3,87.3,59.3,74.0,95.3
task_not_done_but_end,2.0,4.0,10.0,5.0,29.0,14.0,1.0
